TEST,gs://birds2020/test/AFRICAN FIREFINCH/1.jpg,AFRICAN FIREFINCH
TEST,gs://birds2020/test/AFRICAN FIREFINCH/2.jpg,AFRICAN FIREFINCH
TEST,gs://birds2020/test/AFRICAN FIREFINCH/3.jpg,AFRICAN FIREFINCH
TEST,gs://birds2020/test/AFRICAN FIREFINCH/4.jpg,AFRICAN FIREFINCH
TEST,gs://birds2020/test/AFRICAN FIREFINCH/5.jpg,AFRICAN FIREFINCH
TEST,gs://birds2020/test/ALBATROSS/1.jpg,ALBATROSS
TEST,gs://birds2020/test/ALBATROSS/2.jpg,ALBATROSS
TEST,gs://birds2020/test/ALBATROSS/3.jpg,ALBATROSS
TEST,gs://birds2020/test/ALBATROSS/4.jpg,ALBATROSS
TEST,gs://birds2020/test/ALBATROSS/5.jpg,ALBATROSS
TEST,gs://birds2020/test/ALEXANDRINE PARAKEET/1.jpg,ALEXANDRINE PARAKEET
TEST,gs://birds2020/test/ALEXANDRINE PARAKEET/2.jpg,ALEXANDRINE PARAKEET
TEST,gs://birds2020/test/ALEXANDRINE PARAKEET/3.jpg,ALEXANDRINE PARAKEET
TEST,gs://birds2020/test/ALEXANDRINE PARAKEET/4.jpg,ALEXANDRINE PARAKEET
TEST,gs://birds2020/test/ALEXANDRINE PARAKEET/5.jpg,ALEXANDRINE PARAKEET
TEST,gs://birds2020/test/AMERICAN AVOCET/1.jpg,AMERICAN AVOCET
TEST,gs://birds2020/test/AMERICAN AVOCET/2.jpg,AMERICAN AVOCET
TEST,gs://birds2020/test/AMERICAN AVOCET/3.jpg,AMERICAN AVOCET
TEST,gs://birds2020/test/AMERICAN AVOCET/4.jpg,AMERICAN AVOCET
TEST,gs://birds2020/test/AMERICAN AVOCET/5.jpg,AMERICAN AVOCET
TEST,gs://birds2020/test/AMERICAN BITTERN/1.jpg,AMERICAN BITTERN
TEST,gs://birds2020/test/AMERICAN BITTERN/2.jpg,AMERICAN BITTERN
TEST,gs://birds2020/test/AMERICAN BITTERN/3.jpg,AMERICAN BITTERN
TEST,gs://birds2020/test/AMERICAN BITTERN/4.jpg,AMERICAN BITTERN
TEST,gs://birds2020/test/AMERICAN BITTERN/5.jpg,AMERICAN BITTERN
TEST,gs://birds2020/test/AMERICAN COOT/1.jpg,AMERICAN COOT
TEST,gs://birds2020/test/AMERICAN COOT/2.jpg,AMERICAN COOT
TEST,gs://birds2020/test/AMERICAN COOT/3.jpg,AMERICAN COOT
TEST,gs://birds2020/test/AMERICAN COOT/4.jpg,AMERICAN COOT
TEST,gs://birds2020/test/AMERICAN COOT/5.jpg,AMERICAN COOT
TEST,gs://birds2020/test/AMERICAN GOLDFINCH/1.jpg,AMERICAN GOLDFINCH
TEST,gs://birds2020/test/AMERICAN GOLDFINCH/2.jpg,AMERICAN GOLDFINCH
TEST,gs://birds2020/test/AMERICAN GOLDFINCH/3.jpg,AMERICAN GOLDFINCH
TEST,gs://birds2020/test/AMERICAN GOLDFINCH/4.jpg,AMERICAN GOLDFINCH
TEST,gs://birds2020/test/AMERICAN GOLDFINCH/5.jpg,AMERICAN GOLDFINCH
TEST,gs://birds2020/test/AMERICAN KESTREL/1.jpg,AMERICAN KESTREL
TEST,gs://birds2020/test/AMERICAN KESTREL/2.jpg,AMERICAN KESTREL
TEST,gs://birds2020/test/AMERICAN KESTREL/3.jpg,AMERICAN KESTREL
TEST,gs://birds2020/test/AMERICAN KESTREL/4.jpg,AMERICAN KESTREL
TEST,gs://birds2020/test/AMERICAN KESTREL/5.jpg,AMERICAN KESTREL
TEST,gs://birds2020/test/AMERICAN PIPIT/1.jpg,AMERICAN PIPIT
